id,question,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10
24,เปรียบเทียบแบตแล็ปท็อปหน่อย ดาวเหนือ แอร์บุ๊ก 14 กับ NovaTech SlimBook 14 ตัวไหนแบตอยู่นานกว่ากัน,SlimBook 14 แบตอยู่ได้นานกว่า ประมาณ 20 ชม. ส่วน AirBook 14 ได้ 15 ชม.,ทั้งสองรุ่นมีแบตเตอรี่ใกล้เคียงกันที่ 18 ชม. เพราะใช้ชิปเซ็ต NovaTech N7 เหมือนกัน,AirBook 14 แบตอยู่ได้ ~20 ชั่วโมง ส่วน SlimBook 14 ได้ ~15 ชั่วโมง แอร์บุ๊กนานกว่า,SlimBook 14 แบตอยู่ได้ 22 ชม. ส่วน AirBook 14 ได้ 18 ชม.,ทั้งสองรุ่นมีแบตเตอรี่ 70Wh เท่ากัน จึงใช้งานได้นานเท่ากัน,"AirBook 14 แบตอยู่ได้ 12 ชม. (ชิป D1, 70Wh) ส่วน SlimBook 14 ได้ 15 ชม. (ชิป N7, 58Wh)",AirBook 14 แบตอยู่ได้ 20 ชม. ส่วน SlimBook 14 ได้ 20 ชม. เท่ากัน,SlimBook 14 แบตเตอรี่ 58Wh ได้ 18 ชม. ส่วน AirBook 14 แบตเตอรี่ 70Wh ได้ 15 ชม.,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
25,NovaBuds Pro กับ บัดส์ Z5 Pro ประกันตัวไหนนานกว่ากันครับ,ทั้งสองรุ่นรับประกัน 1 ปีเท่ากัน โดย NovaBuds Pro ประกันจาก NovaTech ส่วน Z5 Pro จากคลื่นเสียง,บัดส์ Z5 Pro ประกัน 2 ปีจากคลื่นเสียง นานกว่า NovaBuds Pro ที่ประกัน 1 ปีจาก NovaTech,ทั้งสองรุ่นรับประกัน 2 ปีเท่ากัน NovaBuds Pro จาก NovaTech ส่วน Z5 Pro จากคลื่นเสียง,NovaBuds Pro ประกัน 6 เดือนจาก NovaTech ส่วน Z5 Pro ประกัน 1 ปีจากคลื่นเสียง Z5 Pro นานกว่า,NovaBuds Pro ประกัน 2 ปีจาก NovaTech ส่วน Z5 Pro ประกัน 1 ปีจากคลื่นเสียง NovaBuds Pro นานกว่า,บัดส์ Z5 Pro ประกัน 3 ปีจากคลื่นเสียง ส่วน NovaBuds Pro ประกัน 2 ปีจาก NovaTech Z5 Pro นานกว่า,ทั้งสองรุ่นประกัน 1 ปี แต่ลงทะเบียนออนไลน์ภายใน 30 วันขยายเป็น 2 ปีได้ทั้งคู่,NovaBuds Pro ประกัน 1 ปีจาก NovaTech ส่วน Z5 Pro ประกัน 18 เดือนจากคลื่นเสียง Z5 Pro นานกว่า,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
26,สนใจนาฬิกาวงโคจรครับ Watch S3 Pro กับ Watch S3 ตัวไหนมี ECG วัดคลื่นไฟฟ้าหัวใจได้?,ทั้ง S3 Pro และ S3 มี ECG วัดคลื่นไฟฟ้าหัวใจได้ ต่างกันที่ S3 Pro มี NFC Pay เพิ่ม,"ทั้ง S3 Pro และ S3 ไม่มี ECG ต้องเป็น S3 Ultra (14,990 บาท) ที่มีเซ็นเซอร์ ECG เท่านั้น ทั้งสองรุ่นมีแค่ HR, SpO2",Watch S3 มี ECG วัดคลื่นไฟฟ้าหัวใจได้ พร้อม NFC Pay แต่ S3 Pro ไม่มี ECG มีเพียง HR กับ SpO2 เท่านั้น,Watch S3 มี ECG เวอร์ชันพื้นฐาน วัดได้ 1 Lead ส่วน S3 Pro มี ECG ขั้นสูงวัดได้ 6 Lead,Watch S3 Pro มี ECG แต่ต้องอัปเดตซอฟต์แวร์เป็น FahMai Health v3.0 ก่อนถึงจะเปิดใช้ได้,"Watch S3 Pro มี ECG วัดคลื่นไฟฟ้าหัวใจได้ พร้อม HR, SpO2, HRV ส่วน Watch S3 ไม่มี ECG และไม่มี NFC Pay",ทั้งสองรุ่นมี ECG แต่ S3 Pro มี HRV เพิ่มเติม ส่วน S3 มีเฉพาะ ECG กับ HR,Watch S3 Pro มี ECG แต่ใช้ได้เฉพาะกับสายฟ้าโฟน ไม่รองรับ Android ทั่วไป,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
27,อยากได้หูฟังครอบหูตัดเสียงรบกวนค่ะ เฮดออน 500 กับ เฮดออน 300 ตัวไหนมี ANC คะ,ทั้งสองรุ่นมี ANC เหมือนกัน ต่างกันที่ HeadOn 500 มี Bluetooth 5.2 ส่วน HeadOn 300 มี Bluetooth 5.1,เฮดออน 500 มี ANC พร้อม Bluetooth 5.2 codec SBC/AAC แบต 40 ชม. ส่วนเฮดออน 300 ไม่มี ANC มีแค่ Passive Noise Isolation แบต 50 ชม.,"เฮดออน 300 มี ANC พร้อมแบต 50 ชม. Bluetooth 5.1 ราคา 2,490 บาท ส่วนเฮดออน 500 ไม่มี ANC ราคา 4,990 บาท","ทั้งสองรุ่นไม่มี ANC ต้องเป็น HeadPro X1 (12,990 บาท) หรือ HeadOn 700 ขึ้นไปถึงจะมี ANC ตัดเสียงรบกวนได้",เฮดออน 300 มี ANC แบบไฮบริด พร้อม Bluetooth 5.1 แบต 50 ชม. ส่วน 500 มี ANC ธรรมดา Bluetooth 5.2 แบต 40 ชม.,เฮดออน 500 มี ANC แต่ต้องเปิดผ่านแอปคลื่นเสียง ส่วน 300 มี Passive Isolation ที่เปิดได้ที่ตัวหูฟังเลย,ทั้งสองรุ่นมี Passive Noise Isolation เหมือนกัน ไม่มีตัวไหนมี ANC ต้อง HeadOn 700 ขึ้นไปถึงจะมี ANC ตัดเสียงรบกวน,เฮดออน 500 มี ANC พร้อม Bluetooth 5.2 แบตเหลือ 20 ชม.เมื่อเปิด ANC ส่วน 300 ไม่มี ANC แบต 50 ชม.,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
28,soundbar คลื่นเสียง SoundBar 300 กับ ArcWave SoundPillar 300 ระบบเสียงต่างกันยังไงครับ ตัวไหนมี center channel,ทั้งสองรุ่นเป็น 3.1 channel มี center channel เหมือนกัน กำลังขับ 80W RMS รองรับ Dolby Digital และ DTS,SoundPillar 300 เป็น 3.1 channel มี center channel ส่วน SoundBar 300 เป็น 3.0 channel,SoundBar 300 เป็น 5.1 channel ส่วน SoundPillar 300 เป็น 3.0 channel,ทั้งสองรุ่นเป็น 2.1 channel เหมือนกัน ไม่มี center channel มีแค่ซ้าย+ขวา+subwoofer ในตัว,SoundBar 300 เป็น 3.0 channel ไม่มี center channel ส่วน SoundPillar 300 เป็น 2.0 channel ไม่มี subwoofer,ทั้งสองรุ่นเป็น 3.0 channel ไม่มี center channel กำลังขับ 60W RMS รองรับ Dolby Digital และ DTS,SoundBar 300 เป็น 3.1 channel มี center channel ส่วน SoundPillar 300 เป็น 3.0 channel ไม่มี center channel,SoundPillar 300 เป็น 5.0 channel ส่วน SoundBar 300 เป็น 3.1 channel,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
29,แบนด์ 8 กับ 8 Pro ต่างกันยังไงเรื่อง GPS อ่ะคะ ตัวไหนมี GPS ในตัว?,ทั้งสองรุ่นมี GPS ในตัว แต่ Band 8 Pro มี Multi-Band GPS (L1+L5) ส่วน Band 8 มี Single-Band GPS เท่านั้น,ทั้งสองรุ่นไม่มี GPS ในตัว ต้องพกโทรศัพท์ไปด้วยและใช้ Connected GPS ผ่านแอป WongKhoJon Health,Band 8 มี GPS Single-Band ในตัว ออกวิ่งได้ไม่ต้องพกโทรศัพท์ ส่วน Band 8 Pro ใช้ Connected GPS,"Band 8 Pro มี GPS ในตัว (Single-Band GPS, GLONASS) ส่วน Band 8 ไม่มี GPS ต้องใช้ Connected GPS ผ่านโทรศัพท์","ทั้งสองรุ่นมี GPS Single-Band ในตัวเหมือนกัน ต่างกันแค่ราคา (Band 8 1,490 บาท / Band 8 Pro 2,490 บาท)",Band 8 มี GPS แบบ Dual-Band ส่วน Band 8 Pro มี Single-Band,Band 8 Pro ใช้ GPS แบบ Dual-Band + Galileo ส่วน Band 8 ใช้ Single-Band,Band 8 Pro มี GPS Single-Band ในตัว แต่ต้องเปิดโหมด Outdoor GPS ก่อนถึงจะใช้ได้ ไม่เปิดอัตโนมัติ,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
30,Hub 7-in-1 กับ Hub 4-in-1 ของจุดเชื่อม ชาร์จผ่าน USB-C ได้ทั้งสองตัวไหมครับ,ได้ทั้งคู่ รองรับ PD passthrough 100W เท่ากัน,เฉพาะ Hub 7-in-1 ที่ชาร์จผ่าน USB-C ได้ Hub 4-in-1 ไม่มีพอร์ต PD,ได้ทั้งคู่ แต่กำลังต่างกัน 7-in-1 รองรับ 100W ส่วน 4-in-1 รองรับ 60W,ได้ทั้งคู่ รองรับ PD passthrough 60W เท่ากัน,เฉพาะ Hub 4-in-1 ที่มี PD passthrough ส่วน 7-in-1 ใช้ไฟจาก host อย่างเดียว,ไม่ได้ทั้งคู่ Hub ของจุดเชื่อมเป็นแบบ bus-powered เท่านั้น,ได้ทั้งคู่ แต่กำลังต่างกัน 7-in-1 รองรับ 65W ส่วน 4-in-1 รองรับ 45W,ได้ทั้งคู่ รองรับ PD passthrough 100W แต่ต้องใช้สาย USB-C ของจุดเชื่อมเท่านั้น,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
31,ซื้อวงโคจร Watch S3 Ultra ช่วง Mega Sale มาได้ 12 วันแล้วค่ะ ยังคืนได้อยู่ไหม,"คืนได้ค่ะ ยังอยู่ในระยะเวลา 15 วันตามปกติ Watch S3 Ultra ราคา 14,990 บาทคืนได้ทั้งทางไปรษณีย์และสาขา","คืนได้ค่ะ สินค้าราคาเกิน 10,000 บาท มีเวลาคืน 30 วัน",คืนได้ แต่ต้องนำไปคืนที่สาขาเท่านั้นเพราะเป็นสมาร์ทวอทช์ ฟ้าใหม่ไม่รับคืนอุปกรณ์สวมใส่ทางไปรษณีย์,ไม่ได้แล้วค่ะ สินค้าที่ซื้อช่วง Mega Sale มีระยะเวลาคืนสินค้าเพียง 7 วัน ไม่ใช่ 15 วัน,คืนได้ค่ะ ช่วง Mega Sale ขยายระยะเวลาคืนสินค้าเป็น 30 วัน เพราะเป็นโปรโมชันพิเศษของฟ้าใหม่,คืนได้ครับ สมาร์ทวอทช์ไม่อยู่ในรายการสินค้าที่ไม่รับคืน,คืนไม่ได้เพราะสมาร์ทวอทช์ถือเป็นอุปกรณ์สวมใส่ไม่รับคืนทุกกรณี,คืนได้ถ้าเป็นสมาชิก Gold ขึ้นไป ระดับ Silver คืนได้แค่ 7 วัน,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
32,"ช่วยดูให้หน่อยได้ไหมครับ เรื่องมันยาวนิดนึง คือผมอยากได้แล็ปท็อปสักเครื่องสำหรับเรียนมหาลัย ตอนแรกดูแอร์บุ๊ก 14 ของดาวเหนือ 29,990 บาท สเปคดีมาก RAM 16GB แบตอยู่ได้ 20 ชม. น้ำหนัก 1.1 กก. เบามาก แต่แฟนบอกว่าแพงไป ให้ดูสตั๊ดดี้บุ๊ก 14 ดีกว่า ราคา 15,990 บาท แถมมีโปรนักศึกษาลด 5% เหลือ 15,190 บาท แฟนบอกว่า RAM อัปเกรดได้ด้วย ก็เลยสั่งสตั๊ดดี้บุ๊ก 14 ไปเมื่อวาน จ่ายเงินเรียบร้อย แต่พอกลับมาดูรีวิวในยูทูปอีกที เห็นว่าแอร์บุ๊กจอ 2K สวยกว่ามาก แบตอยู่ 20 ชม. เทียบกับสตั๊ดดี้บุ๊กที่อยู่ 10 ชม. แล้วก็ตัวเครื่องอะลูมิเนียม CNC ดูพรีเมียมกว่าเยอะ เริ่มเสียใจที่ไม่ซื้อแอร์บุ๊ก ตอนนี้เช็คในแอปสถานะขึ้นว่า กำลังเตรียมจัดส่ง ยังยกเลิกได้ไหมครับ",ไม่สามารถยกเลิกได้เพราะชำระเงินแล้ว สินค้าที่ชำระเงินเรียบร้อยแล้วไม่สามารถยกเลิกได้ทุกกรณี,ยกเลิกได้ผ่านแอปหรือเว็บไซต์ เนื่องจากสถานะยังอยู่ในขั้น 'กำลังเตรียมจัดส่ง' ซึ่งยังไม่ได้ส่งมอบให้บริษัทขนส่ง,"ยกเลิกได้แต่ต้องเสียค่าดำเนินการ 5% คือประมาณ 760 บาท จากราคาสตั๊ดดี้บุ๊ก 14 ที่ 15,190 บาท",ไม่สามารถยกเลิกได้เพราะเป็นสินค้าโปรนักศึกษาที่ใช้ส่วนลดแล้ว คำสั่งซื้อที่ใช้โค้ดส่วนลดไม่สามารถยกเลิกได้,"ยกเลิกได้แต่ต้องโทร 02-888-9999 เท่านั้น สินค้าราคาต่ำกว่า 20,000 บาทไม่รับยกเลิกผ่านแอป",ต้องรอรับสินค้าก่อนแล้วค่อยทำเรื่องคืนภายใน 15 วัน กดยกเลิกในขั้นเตรียมจัดส่งไม่ได้แล้ว,ยกเลิกได้แต่จะได้รับเงินคืนเป็น FahMai Wallet เท่านั้น ไม่คืนเงินผ่านบัตรเครดิตหรือโอนธนาคาร,"ไม่สามารถยกเลิกได้เพราะสินค้าราคาต่ำกว่า 20,000 บาท ต้องรอรับสินค้าก่อนแล้วค่อยทำเรื่องคืน",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
33,ครีเอเตอร์บุ๊ก 16 OLED เครื่องผมมีปัญหา อยากเคลมประกัน ให้มารับที่บ้านได้ป่าวครับ,ไม่ได้ครับ ต้องนำเครื่องไปที่สาขาฟ้าใหม่เท่านั้น ไม่มีบริการรับเครื่องที่บ้านสำหรับสินค้าแล็ปท็อปทุกรุ่น,ได้ครับ แต่ต้องจ่ายค่าบริการรับเครื่อง 200 บาทสำหรับพื้นที่กรุงเทพฯ และ 300 บาทสำหรับต่างจังหวัด,ไม่มีบริการรับเครื่องที่บ้าน ต้องส่งทางไปรษณีย์เข้าศูนย์ โดยลูกค้ารับผิดชอบค่าจัดส่ง 50-150 บาทเอง,บริการรับที่บ้านมีเฉพาะสมาชิก Platinum เท่านั้น สมาชิก Silver และ Gold ต้องนำเครื่องไปที่สาขาฟ้าใหม่,ได้ แต่เฉพาะในเขตกรุงเทพฯ และปริมณฑลเท่านั้น ต่างจังหวัดต้องส่งเครื่องทางไปรษณีย์เข้าศูนย์บริการ,ไม่ได้ครับ CreatorBook เป็นแล็ปท็อป ไม่มีบริการ On-site ตั้งแต่ปีที่สอง,"ต้องเข้าสาขาเท่านั้น เพราะ CreatorBook 16 OLED ราคาเกิน 50,000 บาท สินค้าราคาสูงไม่มีบริการ Home Pickup",ได้ครับ CreatorBook 16 OLED เป็นแล็ปท็อปดาวเหนือ มีบริการ On-site Service ในปีแรก ช่างเทคนิคจะเดินทางมาซ่อมถึงบ้านหรือที่ทำงาน,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
34,เคลมประกัน ArcWave SoundPillar 300 ต้องทำยังไงบ้างครับ ส่งซ่อมเองได้เลยมั้ย,ส่งซ่อมที่ศูนย์ ArcWave โดยตรง ไม่ต้องผ่านฟ้าใหม่ ใช้เวลา 3-7 วันทำการ,แจ้งเคลมผ่านฟ้าใหม่ ฟ้าใหม่จะส่งช่างมาซ่อมถึงบ้าน (On-site Service) ภายใน 2 วันทำการ,ส่งเครื่องกลับ ArcWave ทางไปรษณีย์เอง แล้ว ArcWave ส่งคืนภายใน 7 วัน,นำเครื่องไปที่สาขาฟ้าใหม่ ช่างของฟ้าใหม่จะซ่อมให้ภายในวัน เนื่องจาก SoundPillar เป็นลำโพงขนาดเล็ก,แจ้งเคลมผ่านฟ้าใหม่เพื่อประสานงานกับ ArcWave โดยฟ้าใหม่เป็นตัวกลาง ใช้เวลาประมาณ 14 วันทำการ,ต้องโทรหา ArcWave เท่านั้น เพราะสินค้าแบรนด์พาร์ทเนอร์ฟ้าใหม่ไม่รับเคลม,เคลมผ่านแอปฟ้าใหม่ได้เลย รอ 3-5 วันทำการ เหมือนสินค้าแบรนด์ฟ้าใหม่ทั่วไป,ส่งเครื่องเข้าศูนย์บริการฟ้าใหม่ได้โดยตรง ซ่อมภายใน 7 วันทำการ เหมือนสินค้าแบรนด์ House Brand ทั่วไป,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
35,ซื้อเฟล็กซ์บุ๊ก Detach แบบ Bundle มา อยากคืนเฉพาะคีย์บอร์ดอย่างเดียวได้มั้ยคะ ไม่อยากใช้คีย์บอร์ด,คืนเฉพาะคีย์บอร์ดได้ค่ะ จะได้เงินคืนตามสัดส่วนราคาคีย์บอร์ด,คืนได้เฉพาะคีย์บอร์ดภายใน 7 วันแรก หลังจากนั้นต้องคืนทั้งชุด,ไม่ได้ค่ะ เนื่องจากเป็นสินค้า Bundle ต้องคืนทั้งชุดพร้อมกัน ไม่รับคืนแยกชิ้น,คืนเฉพาะคีย์บอร์ดได้ แต่ต้องเสียค่าธรรมเนียมการแยกชุด 500 บาท,"คืนเฉพาะส่วนไหนก็ได้ภายใน 15 วัน เพราะเป็นสินค้าราคาไม่เกิน 50,000 บาท","ต้องนำไปคืนที่สาขาฟ้าใหม่เท่านั้นเพราะราคาเกิน 36,000 บาท",คืนคีย์บอร์ดอย่างเดียวได้ถ้ายังไม่แกะซีล,ต้องติดต่อฝ่ายบริการลูกค้าเพื่อขอเปลี่ยนเป็นรุ่นไม่มีคีย์บอร์ดแทน,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
36,สั่งสายฟ้าโฟน X9 Pro ไปแล้ว ตอนนี้สถานะขึ้นว่าจัดส่งแล้ว อยากยกเลิกคำสั่งซื้อทำได้ป่าวครับ,ยกเลิกได้ครับ กดยกเลิกในแอปฟ้าใหม่ได้เลยไม่ว่าสถานะจะเป็นอะไร คืนเงินภายใน 24 ชั่วโมงผ่าน FahMai Wallet,"ยกเลิกไม่ได้ เมื่อสถานะเป็น ""จัดส่งแล้ว"" ต้องรับสินค้าก่อนแล้วค่อยยื่นคำขอคืนสินค้าแทน",ยกเลิกได้ แต่ต้องโทร 02-888-9999 ภายใน 1 ชั่วโมงหลังจัดส่ง,ยกเลิกได้ถ้าสินค้ายังไม่ถึงมือ ระบบจะส่งคืนโดยอัตโนมัติ โดยไม่จำเป็นต้องรับสินค้าก่อน,"ยกเลิกได้ครับ แต่ต้องเสียค่าธรรมเนียม 5% ของมูลค่าสินค้า คือประมาณ 1,250 บาทสำหรับ X9 Pro ราคา 24,990 บาท",ยกเลิกไม่ได้ และไม่สามารถคืนสินค้าได้เช่นกัน เพราะเป็นสมาร์ทโฟน,ยกเลิกได้ถ้าเป็นสมาชิก Platinum แต่ระดับอื่นต้องรอรับสินค้าก่อน,ให้ปฏิเสธการรับสินค้าตอนพนักงานขนส่งมาส่ง แล้วจะได้เงินคืนอัตโนมัติ,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
37,"สวัสดีค่ะ คืออยากปรึกษาเรื่องหูฟังที่ซื้อมาค่ะ เมื่อวันเสาร์ที่ผ่านมาไปร้านฟ้าใหม่สาขาลาดพร้าวกับแฟน เดิมจะไปดูเคสโทรศัพท์อย่างเดียว แต่พอเดินผ่านโซนหูฟังก็สนใจหูฟังไร้สายขึ้นมา พนักงานแนะนำ คลื่นเสียง บัดส์ Z5 บอกว่า ANC ดีมาก ชาร์จได้นาน คืนนั้นก็เลยตัดสินใจซื้อเลยค่ะ ราคา 5,490 บาท วันอาทิตย์เอาไปใช้ที่ฟิตเนสตอนวิ่งบนลู่ เสียงดีนะคะ ANC ตัดเสียงรอบข้างได้เลย แต่ปัญหาคือมันหลุดจากหูตลอดเลยค่ะตอนวิ่ง ลอง Ear Tips ทุกไซส์แล้ว S M L ก็ยังหลุดอยู่ดี อาจจะเป็นเพราะรูหูเราไม่เหมาะกับทรง In-Ear มั้ง เพื่อนที่ทำงานบอกว่าลองดู Open Ring ดีกว่า มันเป็นแบบคล้องหูไม่ต้องยัดเข้าหู แต่ก่อนจะไปซื้อตัวใหม่ ก็เลยอยากถามก่อนว่า ตัว บัดส์ Z5 ที่ซื้อมาวันเสาร์ แกะใช้แล้ว ส่งคืนได้ไหมคะ",คืนได้ตามปกติภายใน 15 วัน เพราะสินค้าไม่เหมาะกับการใช้งาน แม้แกะใช้แล้วสินค้าทุกประเภทคืนได้หมด,"คืนได้ถ้าส่งคืนภายใน 7 วันนับจากวันที่ซื้อ สินค้าหูฟัง In-Ear ราคาต่ำกว่า 10,000 บาทมีเวลาคืน 7 วัน",คืนได้เฉพาะถ้ายังไม่ได้ลอง Ear Tips ทุกไซส์ หากเปิดซีลแต่ยังไม่สวมใส่ยังคืนได้ตามนโยบายปกติ,คืนได้ แต่ต้องนำไปคืนที่สาขาลาดพร้าวที่ซื้อเท่านั้น ฟ้าใหม่กำหนดให้คืนสินค้าที่สาขาเดิมที่ซื้อเท่านั้น,"คืนได้แต่จะถูกหักค่าดำเนินการ 5% คือประมาณ 275 บาทสำหรับ บัดส์ Z5 ราคา 5,490 บาท","ไม่สามารถคืนได้เพราะเป็นสินค้าโปรโมชัน Mid-Year Sale ที่ลดจาก 5,490 เหลือ 4,990 บาท สินค้าลดราคาไม่รับคืน","คืนได้แต่ต้องแลกเป็นรุ่น Open Ring ราคา 6,990 บาทแทนเท่านั้น ต้องจ่ายส่วนต่าง 1,500 บาท ไม่รับคืนเป็นเงิน",ไม่สามารถคืนได้ เนื่องจากบัดส์ Z5 เป็นหูฟังแบบ In-Ear ที่เปิดใช้งานแล้ว ตามนโยบายด้านสุขอนามัยของฟ้าใหม่,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
38,เป็นสมาชิก Platinum อยู่ครับ สั่งสายฟ้า โฟน V7 ส่งแบบด่วนต้องจ่ายเพิ่มเท่าไหร่ ที่อยู่ในกรุงเทพฯ ครับ,สมาชิก Platinum จ่ายค่า Express ครึ่งราคา คือ 50 บาท สำหรับพื้นที่กรุงเทพฯ และปริมณฑล ได้รับภายใน 1 วันทำการ,Express ราคา 100 บาท สมาชิกทุกระดับจ่ายเท่ากัน ไม่มีสิทธิพิเศษลดค่าจัดส่ง Express ให้สมาชิกระดับไหน,Platinum ไม่ต้องจ่ายค่าจัดส่งปกติ แต่ Express ต้องจ่ายเพิ่ม 100 บาท,ฟรีค่าจัดส่งทุกรูปแบบ แต่ Express ให้บริการเฉพาะต่างจังหวัดเท่านั้น กรุงเทพฯ ส่งมาตรฐาน 1-2 วันทำการ,"Platinum ได้ Express ฟรี แต่ต้องสั่งขั้นต่ำ 1,000 บาทขึ้นไป",สมาชิก Platinum ได้ Express ฟรี ไม่ต้องจ่ายเพิ่ม สำหรับพื้นที่กรุงเทพฯ และปริมณฑล,ค่า Express 100 บาท แต่สามารถใช้ FahMai Points แลกค่าส่งได้,Platinum ได้ Express ฟรีทั่วประเทศ ไม่จำกัดเฉพาะกรุงเทพฯ,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
39,สั่ง Pre-order สายฟ้า โฟน DuoPad ไว้ กำหนดส่งวันที่ 15 เมษายน ตอนนี้วันที่ 14 เมษายนแล้วครับ เปลี่ยนใจอยากยกเลิก ต้องเสียค่าอะไรมั้ย,ยกเลิกได้ฟรีไม่เสียค่าใช้จ่าย เพราะยังไม่ถึงวันจัดส่ง 15 เมษายน สินค้า Pre-order ยกเลิกฟรีได้ทุกกรณี,"ไม่สามารถยกเลิกได้เพราะเป็นสินค้า Pre-order ราคา 54,990 บาท ทุกคำสั่ง Pre-order ห้ามยกเลิกหลังชำระเงินแล้ว",ยกเลิกได้แต่ต้องเสียค่าดำเนินการ 10% ของราคาสินค้า,ยกเลิกได้แต่จะถูกหักค่าดำเนินการ 5% ของราคาสินค้า เนื่องจากเหลือเวลาน้อยกว่า 3 วันก่อนวันจัดส่ง,ยกเลิกได้แต่ต้องโทรแจ้ง 02-888-9999 เท่านั้น ไม่สามารถยกเลิกผ่านแอปหรือเว็บไซต์ฟ้าใหม่ได้,"ไม่สามารถยกเลิกได้เพราะสินค้ามีราคาเกิน 50,000 บาท",ยกเลิกได้แต่จะได้รับเงินคืนเป็น FahMai Wallet เท่านั้น,"ต้องรอรับสินค้าก่อนแล้วค่อยทำเรื่องคืนภายใน 15 วัน โดยต้องคืนผ่านสาขาฟ้าใหม่เพราะเกิน 50,000 บาท",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
40,Watch S3 SE หน้าจอเป็น AMOLED ไหมครับ,เป็น AMOLED 1.7 นิ้ว ความละเอียด 396x484 พิกเซล Always-On Display,"เป็น Super AMOLED 1.7 นิ้ว ความสว่างสูงสุด 1,000 nits สีสดใส",เป็น OLED 1.7 นิ้ว รองรับ Always-On Display สีดำสนิทประหยัดแบตเตอรี่,เป็น AMOLED 1.4 นิ้ว ความสว่างสูงสุด 600 nits เหมือนรุ่น Watch S3,ไม่ใช่ AMOLED เป็นจอ IPS LCD 1.7 นิ้ว ให้สีที่สดใสกว่า TFT ทั่วไป,เป็น AMOLED แต่ความสว่างต่ำกว่ารุ่น S3 อยู่ที่ 450 nits เพราะเป็นรุ่น SE ราคาประหยัด,ไม่ใช่ AMOLED เป็นจอ E Ink 1.7 นิ้ว ประหยัดแบตเตอรี่สูงสุด,ไม่ใช่ AMOLED เป็นจอ LCD TFT 1.7 นิ้ว,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
